lang,dtime,vlang,pcommit,op,ttype,mtype,memory,allocs,tmin,tmax,tmedian,tmean,tstddev
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Complex{Float64},small,0,0,256.5994318181818,581.8551136363636,265.32670454545456,279.4909173295455,38.070683708016105
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Complex{Float64},large,0,0,39876,562298,44210,46817.9289,14792.744258605799
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Complex{Float64},huge,0,0,972269,2187553,1048584,1092763.9909671734,115057.33359431717
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Float32,tiny,0,0,14.648946840521564,89.63691073219658,16.319458375125375,16.64058625877633,3.337590677327564
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Float32,medium,0,0,398.3787878787879,1747.040404040404,427.5328282828283,453.17127727272737,90.20825237876043
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Float32,small,0,0,62.42566844919786,587.4288770053475,64.56684491978609,68.59401743315507,11.775780672417955
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Float32,large,0,0,13208,80193,13887,14368.6092,2421.176448632958
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Float32,huge,0,0,138075,1343180,169332,201479.3308,81518.47693563689
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Float64,tiny,0,0,14.102204408817636,93.3997995991984,15.693386773547093,16.168193186372747,3.2866721136682036
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Float64,medium,0,0,1403.3,7998.9,1562,1576.1474899999998,255.6662859249842
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Float64,small,0,0,106.18599562363238,307.0043763676149,109.74726477024069,114.5336208971554,16.45465427302857
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Float64,large,0,0,12541,1927328,14282,17162.2859,60107.64230340006
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Float64,huge,0,0,305635,21447242,343204.5,446416.0408,546440.2417270921
